clipId,gameId,roundId,playerId,startFrame,endFrame,isBluffing,note
117,15,3,1,329,478,1,
118,15,4,1,370,519,1,
119,1,2,1,1775,1924,0,
120,1,3,1,211,360,0,
121,1,3,1,397,546,0,
122,1,3,1,901,1050,0,
123,1,3,1,1236,1385,0,
124,1,4,1,32,181,0,
125,1,4,1,487,636,0,
126,1,4,1,653,802,0,
127,6,1,1,141,290,0,
128,6,1,1,872,1021,0,
129,6,2,1,48,197,0,
130,6,2,1,500,649,0,
131,6,2,1,675,824,0,
132,11,1,1,240,389,0,
133,11,1,1,654,803,0,
134,11,2,1,22,171,0,
135,14,2,1,295,444,0,
136,1,1,4,150,299,0,
137,1,2,4,500,649,0,
138,1,3,4,300,449,0,
139,2,1,4,150,299,0,
140,2,2,4,1650,1799,1,
141,2,3,4,365,514,1,
142,2,4,4,400,549,0,
143,3,1,4,340,489,0,
144,3,2,4,250,399,0,
145,4,1,4,370,519,0,
146,4,2,4,1400,1549,0,
147,5,1,4,150,299,0,
148,5,2,4,1100,1249,0,
149,6,1,4,150,299,0,
150,7,1,4,150,299,0,
151,8,1,4,90,239,0,
152,9,1,4,125,274,0,
153,9,2,4,225,374,0,
154,9,3,4,150,299,0,
155,10,1,4,400,549,0,
156,10,2,4,575,724,1,
157,10,4,4,1300,1449,0,
158,11,1,4,200,349,0,
159,11,2,4,200,349,0,
160,12,1,4,390,539,0,
161,12,2,4,400,549,0,
162,13,1,4,1080,1229,0,
163,13,2,4,1520,1669,1,
164,13,3,4,600,749,1,
165,13,4,4,380,529,0,
166,14,2,4,125,274,1,
167,14,3,4,250,399,0,
168,15,1,4,575,724,1,
169,15,2,4,2600,2749,1,
170,15,3,4,100,249,0,
171,15,4,4,350,499,0,
172,1,1,2,651,800,0,
173,1,2,2,1310,1459,0,
174,1,3,2,676,825,0,
175,1,4,2,481,630,0,
176,2,1,2,1268,1417,1,
177,3,1,2,1145,1294,0,
178,3,2,2,1420,1569,1,
179,3,3,2,681,830,1,
180,3,4,2,430,579,1,
181,4,1,2,548,697,1,
182,5,1,2,486,635,0,
183,5,2,2,1135,1284,1,
184,5,3,2,1056,1205,1,
185,5,4,2,4516,4665,1,
186,6,1,2,564,713,0,
187,6,2,2,833,982,1,
188,6,3,2,1118,1267,1,
189,8,1,2,975,1124,0,
190,8,2,2,973,1122,0,
191,8,3,2,1053,1202,0,
192,9,2,2,688,837,1,
193,10,1,2,376,525,0,
194,10,2,2,712,861,1,
195,10,3,2,353,502,1,
196,11,1,2,422,571,0,
197,12,1,2,2718,2867,0,
198,12,2,2,1625,1774,1,
199,12,3,2,952,1101,1,
200,12,4,2,917,1066,1,
201,14,1,2,1477,1626,0,
202,14,2,2,785,934,0,
203,15,1,2,796,945,0,
